Vendedor,Departamento,Faturamento Realizado,Objetivo de Faturamento,Margem Realizada,Objetivo de Margem,Data
Caroline Reis,Papelaria,710.45,303.53,0.32,0.38,2017-12-02
Letícia Nascimento,Eletrônicos,1939.36,3149.22,0.26,0.18,2017-12-03
Ana Sousa,Eletrônicos,4415.06,1802.62,0.17,0.21,2017-12-03
Gustavo Martins,Eletrônicos,3798.86,3071.64,0.14,0.22,2017-12-03
Beatriz Santos,Vestuário,329.67,1123.6,0.2,0.17,2017-12-03
Camila Lima,Vestuário,253.22,921.89,0.11,0.2,2017-12-03
Thiago Barbosa,Acessórios,1235.66,486.39,0.72,0.58,2017-12-03
Letícia Ribeiro,Acessórios,987.45,690.41,0.68,0.5,2017-12-03
Enzo Nascimento,Casa,3165.85,4536.85,0.14,0.25,2017-12-03
Guilherme Santos,Casa,2114.78,3150.69,0.11,0.24,2017-12-03
Vitória Ribeiro,Brinquedo,932.9,2178.85,0.28,0.24,2017-12-03
Julia Araújo,Esportes,6137.66,4932.43,0.45,0.31,2017-12-03
Lucas Rodrigues,Esportes,5047.61,3233.52,0.14,0.3,2017-12-03
Thiago Carvalho,Esportes,1577.59,4908.2,0.47,0.3,2017-12-03
Mateus Barbosa,Eletrônicos,3835.54,1585.51,0.25,0.22,2017-12-03
Camila Carvalho,Casa,6346.84,2865.9,0.25,0.29,2017-12-03
Diego Cardoso,Vestuário,3408.41,3068.15,0.15,0.14,2017-12-03
Jorge Santos,Brinquedo,5398.02,3638.44,0.38,0.3,2017-12-03
Raphael Silva,Papelaria,800.47,709.87,0.52,0.49,2017-12-03
Caroline Reis,Papelaria,621.65,716.54,0.54,0.45,2017-12-03
Letícia Nascimento,Eletrônicos,5788.39,3176.48,0.1,0.18,2017-12-04
Ana Sousa,Eletrônicos,1301.9,2135.35,0.3,0.19,2017-12-04
Gustavo Martins,Eletrônicos,3215.45,3043.2,0.15,0.19,2017-12-04
Beatriz Santos,Vestuário,2256.64,2545.68,0.24,0.2,2017-12-04
Camila Lima,Vestuário,4124.46,1121.9,0.23,0.18,2017-12-04
Thiago Barbosa,Acessórios,1270.16,520.06,0.5,0.5,2017-12-04
Letícia Ribeiro,Acessórios,849.23,482.23,0.54,0.54,2017-12-04
Enzo Nascimento,Casa,2399.95,4732.56,0.31,0.24,2017-12-04
Guilherme Santos,Casa,1697.43,1821.3,0.42,0.29,2017-12-04
Vitória Ribeiro,Brinquedo,1060.35,3278.01,0.33,0.25,2017-12-04
Julia Araújo,Esportes,4651.53,3885.56,0.31,0.31,2017-12-04
Lucas Rodrigues,Esportes,3179.29,2779.02,0.26,0.38,2017-12-04
Thiago Carvalho,Esportes,3509.49,2710.41,0.25,0.34,2017-12-04
Mateus Barbosa,Eletrônicos,4323.2,3750.11,0.23,0.18,2017-12-04
Camila Carvalho,Casa,7578.97,3214.02,0.26,0.28,2017-12-04
Diego Cardoso,Vestuário,1724.35,2008.42,0.19,0.21,2017-12-04
Jorge Santos,Brinquedo,4019.99,3490.21,0.18,0.26,2017-12-04
Raphael Silva,Papelaria,989.4,492.13,0.68,0.49,2017-12-04
Caroline Reis,Papelaria,342.33,267.53,0.29,0.47,2017-12-04
Letícia Nascimento,Eletrônicos,3143.7,4778.8,0.24,0.17,2017-12-05
Ana Sousa,Eletrônicos,6274.36,3516.42,0.19,0.23,2017-12-05
Gustavo Martins,Eletrônicos,5086.92,3412.42,0.14,0.22,2017-12-05
Beatriz Santos,Vestuário,4068.62,2680.01,0.22,0.17,2017-12-05
Camila Lima,Vestuário,930.53,3444.97,0.17,0.17,2017-12-05
Thiago Barbosa,Acessórios,906.79,524.64,0.4,0.52,2017-12-05
Letícia Ribeiro,Acessórios,1619.46,985.36,0.26,0.5,2017-12-05
Enzo Nascimento,Casa,6759.06,2971.19,0.18,0.3,2017-12-05
Guilherme Santos,Casa,1286.46,5014.95,0.29,0.33,2017-12-05
Vitória Ribeiro,Brinquedo,1987.4,1052.96,0.33,0.27,2017-12-05
Julia Araújo,Esportes,5646.0,4563.04,0.33,0.34,2017-12-05
Lucas Rodrigues,Esportes,5976.71,2712.29,0.33,0.35,2017-12-05
Thiago Carvalho,Esportes,2955.21,1906.0,0.48,0.33,2017-12-05
Mateus Barbosa,Eletrônicos,6010.86,3461.05,0.11,0.18,2017-12-05
Camila Carvalho,Casa,1407.39,2296.29,0.35,0.31,2017-12-05
Diego Cardoso,Vestuário,3191.09,2098.91,0.13,0.17,2017-12-05
Jorge Santos,Brinquedo,1458.76,3420.59,0.4,0.24,2017-12-05
Raphael Silva,Papelaria,793.62,352.69,0.7,0.49,2017-12-05
Caroline Reis,Papelaria,548.27,685.61,0.63,0.4,2017-12-05
Letícia Nascimento,Eletrônicos,2004.68,3201.49,0.25,0.21,2017-12-06
Ana Sousa,Eletrônicos,6565.62,3065.52,0.14,0.23,2017-12-06
Gustavo Martins,Eletrônicos,2536.15,3959.7,0.09,0.2,2017-12-06
Beatriz Santos,Vestuário,1018.08,3126.55,0.09,0.15,2017-12-06
Camila Lima,Vestuário,1780.96,2730.07,0.21,0.14,2017-12-06
Thiago Barbosa,Acessórios,266.5,1299.64,0.76,0.5,2017-12-06
Letícia Ribeiro,Acessórios,1747.65,723.65,0.22,0.5,2017-12-06
Enzo Nascimento,Casa,5437.52,2148.01,0.29,0.25,2017-12-06
Guilherme Santos,Casa,879.87,5196.24,0.17,0.3,2017-12-06
Vitória Ribeiro,Brinquedo,2071.89,3431.27,0.17,0.25,2017-12-06
Julia Araújo,Esportes,5686.06,3582.97,0.3,0.35,2017-12-06
Lucas Rodrigues,Esportes,2607.64,2071.98,0.3,0.39,2017-12-06
Thiago Carvalho,Esportes,2713.46,3927.85,0.27,0.33,2017-12-06
Mateus Barbosa,Eletrônicos,2760.72,2960.58,0.19,0.17,2017-12-06
Camila Carvalho,Casa,4209.79,2534.38,0.14,0.24,2017-12-06
Diego Cardoso,Vestuário,3982.11,3114.74,0.23,0.18,2017-12-06
Jorge Santos,Brinquedo,501.82,1568.68,0.28,0.29,2017-12-06
Raphael Silva,Papelaria,354.68,495.5,0.34,0.47,2017-12-06
Caroline Reis,Papelaria,486.79,710.64,0.68,0.41,2017-12-06
Letícia Nascimento,Eletrônicos,4735.49,3817.85,0.18,0.22,2017-12-07
Ana Sousa,Eletrônicos,5851.16,4622.5,0.14,0.24,2017-12-07
Gustavo Martins,Eletrônicos,1390.19,3963.52,0.31,0.22,2017-12-07
Beatriz Santos,Vestuário,3317.98,3368.27,0.21,0.15,2017-12-07
Camila Lima,Vestuário,1860.04,2598.0,0.24,0.18,2017-12-07
Thiago Barbosa,Acessórios,371.28,1389.24,0.5,0.6,2017-12-07
Letícia Ribeiro,Acessórios,780.24,1538.3,0.6,0.44,2017-12-07
Enzo Nascimento,Casa,5654.71,4801.06,0.42,0.3,2017-12-07
Guilherme Santos,Casa,6187.38,1994.26,0.28,0.31,2017-12-07
Vitória Ribeiro,Brinquedo,2207.84,3816.92,0.13,0.28,2017-12-07
Julia Araújo,Esportes,4848.97,5031.96,0.44,0.29,2017-12-07
Lucas Rodrigues,Esportes,1982.25,3864.93,0.26,0.29,2017-12-07
Thiago Carvalho,Esportes,2780.83,4900.77,0.36,0.36,2017-12-07
Mateus Barbosa,Eletrônicos,3661.67,4101.71,0.11,0.18,2017-12-07
Camila Carvalho,Casa,4817.34,2685.76,0.43,0.31,2017-12-07
Diego Cardoso,Vestuário,2284.32,1613.09,0.2,0.17,2017-12-07
Jorge Santos,Brinquedo,2110.43,1644.31,0.21,0.28,2017-12-07
Raphael Silva,Papelaria,322.58,754.72,0.23,0.38,2017-12-07
Caroline Reis,Papelaria,854.26,519.39,0.65,0.52,2017-12-07
Letícia Nascimento,Eletrônicos,2340.11,1969.79,0.3,0.18,2017-12-08
Ana Sousa,Eletrônicos,6382.08,3673.74,0.11,0.18,2017-12-08
Gustavo Martins,Eletrônicos,5469.43,3516.48,0.1,0.21,2017-12-08
Beatriz Santos,Vestuário,2250.56,3468.29,0.16,0.16,2017-12-08
Camila Lima,Vestuário,574.62,3002.2,0.13,0.17,2017-12-08
Thiago Barbosa,Acessórios,213.38,858.4,0.28,0.4,2017-12-08
Letícia Ribeiro,Acessórios,200.92,1194.25,0.34,0.44,2017-12-08
Enzo Nascimento,Casa,2158.24,1650.6,0.14,0.24,2017-12-08
Guilherme Santos,Casa,1417.51,2269.65,0.24,0.24,2017-12-08
Vitória Ribeiro,Brinquedo,2844.05,3635.35,0.22,0.23,2017-12-08
Julia Araújo,Esportes,6503.72,1480.22,0.35,0.39,2017-12-08
Lucas Rodrigues,Esportes,4773.03,3184.36,0.17,0.33,2017-12-08
Thiago Carvalho,Esportes,5573.87,2771.15,0.42,0.31,2017-12-08
Mateus Barbosa,Eletrônicos,3251.03,3555.14,0.25,0.17,2017-12-08
Camila Carvalho,Casa,3285.23,5425.53,0.28,0.22,2017-12-08
Diego Cardoso,Vestuário,2741.62,3183.0,0.15,0.14,2017-12-08
Jorge Santos,Brinquedo,1718.94,2503.01,0.34,0.22,2017-12-08
Raphael Silva,Papelaria,264.28,696.27,0.27,0.5,2017-12-08
Caroline Reis,Papelaria,726.69,677.51,0.32,0.43,2017-12-08
Letícia Nascimento,Eletrônicos,2054.35,3319.76,0.1,0.16,2017-12-09
Ana Sousa,Eletrônicos,4772.15,3664.87,0.14,0.22,2017-12-09
Gustavo Martins,Eletrônicos,2627.14,4482.2,0.27,0.21,2017-12-09
Beatriz Santos,Vestuário,4781.14,2842.15,0.23,0.18,2017-12-09
Camila Lima,Vestuário,1205.22,1252.86,0.24,0.21,2017-12-09
Thiago Barbosa,Acessórios,1563.16,1115.42,0.6,0.42,2017-12-09
Letícia Ribeiro,Acessórios,189.37,1436.05,0.54,0.42,2017-12-09
Enzo Nascimento,Casa,3142.12,3688.29,0.3,0.28,2017-12-09
Guilherme Santos,Casa,221.45,2564.55,0.15,0.25,2017-12-09
Vitória Ribeiro,Brinquedo,1431.66,2795.08,0.29,0.24,2017-12-09
Julia Araújo,Esportes,1102.6,4711.06,0.51,0.31,2017-12-09
Lucas Rodrigues,Esportes,154.21,1979.51,0.3,0.35,2017-12-09
Thiago Carvalho,Esportes,5442.26,3446.57,0.33,0.31,2017-12-09
Mateus Barbosa,Eletrônicos,1910.71,1237.67,0.29,0.23,2017-12-09
Camila Carvalho,Casa,1893.21,4645.35,0.23,0.24,2017-12-09
Diego Cardoso,Vestuário,2536.94,1704.72,0.21,0.18,2017-12-09
Jorge Santos,Brinquedo,546.49,2224.76,0.23,0.29,2017-12-09
Raphael Silva,Papelaria,372.37,250.68,0.34,0.52,2017-12-09
Caroline Reis,Papelaria,427.57,330.6,0.56,0.41,2017-12-09
Letícia Nascimento,Eletrônicos,288.47,1786.52,0.1,0.16,2017-12-10
Ana Sousa,Eletrônicos,5354.59,1518.34,0.3,0.18,2017-12-10
Gustavo Martins,Eletrônicos,682.33,2389.51,0.2,0.21,2017-12-10
Beatriz Santos,Vestuário,3523.75,2428.9,0.07,0.15,2017-12-10
Camila Lima,Vestuário,4017.01,3228.27,0.17,0.17,2017-12-10
Thiago Barbosa,Acessórios,1104.76,1428.42,0.62,0.44,2017-12-10
Letícia Ribeiro,Acessórios,786.06,1000.38,0.74,0.58,2017-12-10
Enzo Nascimento,Casa,2434.19,1944.19,0.41,0.3,2017-12-10
Guilherme Santos,Casa,176.39,1791.54,0.24,0.28,2017-12-10
Vitória Ribeiro,Brinquedo,1352.04,2903.78,0.27,0.23,2017-12-10
Julia Araújo,Esportes,1808.26,2802.22,0.23,0.36,2017-12-10
Lucas Rodrigues,Esportes,3313.9,4547.65,0.31,0.38,2017-12-10
Thiago Carvalho,Esportes,3187.8,1536.5,0.29,0.29,2017-12-10
Mateus Barbosa,Eletrônicos,2223.4,4635.01,0.28,0.23,2017-12-10
Camila Carvalho,Casa,6180.73,3311.2,0.32,0.31,2017-12-10
Diego Cardoso,Vestuário,4185.81,2625.44,0.17,0.15,2017-12-10
Jorge Santos,Brinquedo,1329.29,1531.14,0.27,0.24,2017-12-10
Raphael Silva,Papelaria,915.01,635.18,0.36,0.5,2017-12-10
Caroline Reis,Papelaria,559.86,788.01,0.72,0.41,2017-12-10
Letícia Nascimento,Eletrônicos,5171.04,2287.9,0.14,0.2,2017-12-11
Ana Sousa,Eletrônicos,399.86,2292.49,0.29,0.19,2017-12-11
Gustavo Martins,Eletrônicos,5316.91,4237.31,0.21,0.24,2017-12-11
Beatriz Santos,Vestuário,1970.9,3212.41,0.24,0.15,2017-12-11
Camila Lima,Vestuário,340.12,2504.75,0.24,0.2,2017-12-11
Thiago Barbosa,Acessórios,817.34,1095.66,0.74,0.56,2017-12-11
Letícia Ribeiro,Acessórios,933.28,540.84,0.26,0.5,2017-12-11
Enzo Nascimento,Casa,7648.82,3385.16,0.21,0.26,2017-12-11
Guilherme Santos,Casa,2331.87,4521.36,0.25,0.28,2017-12-11
Vitória Ribeiro,Brinquedo,2863.37,3370.75,0.15,0.24,2017-12-11
Julia Araújo,Esportes,4177.84,2454.57,0.26,0.38,2017-12-11
Lucas Rodrigues,Esportes,4905.71,4257.03,0.35,0.34,2017-12-11
Thiago Carvalho,Esportes,1939.9,3972.59,0.34,0.3,2017-12-11
Mateus Barbosa,Eletrônicos,2821.27,4234.26,0.17,0.21,2017-12-11
Camila Carvalho,Casa,4656.79,5273.11,0.43,0.3,2017-12-11
Diego Cardoso,Vestuário,2071.54,1489.9,0.1,0.17,2017-12-11
Jorge Santos,Brinquedo,3058.45,1101.31,0.33,0.24,2017-12-11
Raphael Silva,Papelaria,495.96,473.73,0.5,0.45,2017-12-11
Caroline Reis,Papelaria,837.42,323.07,0.49,0.5,2017-12-11
Letícia Nascimento,Eletrônicos,1055.16,2002.15,0.19,0.18,2017-12-12
Ana Sousa,Eletrônicos,4950.38,3931.68,0.18,0.22,2017-12-12
Gustavo Martins,Eletrônicos,673.38,4606.87,0.26,0.24,2017-12-12
Beatriz Santos,Vestuário,688.76,2395.53,0.16,0.15,2017-12-12
Camila Lima,Vestuário,3943.85,1998.54,0.27,0.19,2017-12-12
Thiago Barbosa,Acessórios,402.72,642.06,0.34,0.54,2017-12-12
Letícia Ribeiro,Acessórios,1716.84,462.26,0.28,0.52,2017-12-12
Enzo Nascimento,Casa,7163.8,2459.37,0.23,0.31,2017-12-12
Guilherme Santos,Casa,6296.82,5136.31,0.39,0.33,2017-12-12
Vitória Ribeiro,Brinquedo,2140.37,3954.73,0.18,0.22,2017-12-12
Julia Araújo,Esportes,6568.25,2855.42,0.26,0.27,2017-12-12
Lucas Rodrigues,Esportes,2523.99,3396.98,0.29,0.36,2017-12-12
Thiago Carvalho,Esportes,4333.47,1652.34,0.33,0.29,2017-12-12
Mateus Barbosa,Eletrônicos,4755.8,1374.82,0.27,0.23,2017-12-12
Camila Carvalho,Casa,2142.66,3630.47,0.39,0.25,2017-12-12
Diego Cardoso,Vestuário,2674.1,3005.66,0.14,0.15,2017-12-12
Jorge Santos,Brinquedo,5293.97,2895.25,0.33,0.25,2017-12-12
Raphael Silva,Papelaria,30.59,300.03,0.38,0.41,2017-12-12
Caroline Reis,Papelaria,174.63,681.3,0.36,0.54,2017-12-12
Letícia Nascimento,Eletrônicos,2778.07,4776.08,0.31,0.19,2017-12-13
Ana Sousa,Eletrônicos,5308.63,2926.81,0.29,0.24,2017-12-13
Gustavo Martins,Eletrônicos,3688.2,3495.14,0.18,0.19,2017-12-13
Beatriz Santos,Vestuário,3388.65,1013.52,0.22,0.21,2017-12-13
Camila Lima,Vestuário,910.29,1572.59,0.08,0.17,2017-12-13
Thiago Barbosa,Acessórios,1988.24,511.64,0.78,0.58,2017-12-13
Letícia Ribeiro,Acessórios,1250.0,1557.35,0.76,0.6,2017-12-13
Enzo Nascimento,Casa,6004.18,4179.7,0.29,0.28,2017-12-13
Guilherme Santos,Casa,4105.09,3432.95,0.42,0.28,2017-12-13
Vitória Ribeiro,Brinquedo,1196.11,3392.74,0.12,0.28,2017-12-13
Julia Araújo,Esportes,5785.08,3512.8,0.44,0.29,2017-12-13
Lucas Rodrigues,Esportes,5868.38,3148.17,0.39,0.31,2017-12-13
Thiago Carvalho,Esportes,2238.93,2965.73,0.22,0.36,2017-12-13
Mateus Barbosa,Eletrônicos,3631.52,3023.62,0.19,0.16,2017-12-13
Camila Carvalho,Casa,734.08,1573.57,0.29,0.25,2017-12-13
Diego Cardoso,Vestuário,3418.0,1305.17,0.08,0.19,2017-12-13
Jorge Santos,Brinquedo,4045.36,2968.25,0.1,0.27,2017-12-13
Raphael Silva,Papelaria,548.23,378.53,0.68,0.38,2017-12-13
Caroline Reis,Papelaria,317.46,498.97,0.25,0.52,2017-12-13
Letícia Nascimento,Eletrônicos,561.61,4326.4,0.14,0.19,2017-12-14
Ana Sousa,Eletrônicos,5786.41,2350.33,0.26,0.22,2017-12-14
Gustavo Martins,Eletrônicos,2423.71,2660.71,0.24,0.19,2017-12-14
Beatriz Santos,Vestuário,1430.26,3128.14,0.12,0.19,2017-12-14
Camila Lima,Vestuário,359.25,2343.29,0.23,0.16,2017-12-14
Thiago Barbosa,Acessórios,1212.56,1526.62,0.32,0.4,2017-12-14
Letícia Ribeiro,Acessórios,2130.0,1009.23,0.5,0.58,2017-12-14
Enzo Nascimento,Casa,5347.29,2307.9,0.29,0.29,2017-12-14
Guilherme Santos,Casa,3362.41,4741.6,0.4,0.25,2017-12-14
Vitória Ribeiro,Brinquedo,5380.25,1460.59,0.14,0.25,2017-12-14
Julia Araújo,Esportes,2010.59,3888.27,0.26,0.35,2017-12-14
Lucas Rodrigues,Esportes,4489.15,3095.18,0.17,0.26,2017-12-14
Thiago Carvalho,Esportes,880.14,2985.92,0.36,0.36,2017-12-14
Mateus Barbosa,Eletrônicos,3252.35,1676.04,0.23,0.19,2017-12-14
Camila Carvalho,Casa,4460.22,1594.12,0.39,0.24,2017-12-14
Diego Cardoso,Vestuário,3607.78,1852.64,0.12,0.19,2017-12-14
Jorge Santos,Brinquedo,5335.47,2349.89,0.1,0.23,2017-12-14
Raphael Silva,Papelaria,719.24,318.62,0.43,0.41,2017-12-14
Caroline Reis,Papelaria,194.45,745.69,0.36,0.54,2017-12-14
Letícia Nascimento,Eletrônicos,4212.98,2539.03,0.16,0.17,2017-12-15
Ana Sousa,Eletrônicos,2902.22,1959.65,0.22,0.19,2017-12-15
Gustavo Martins,Eletrônicos,1950.1,1793.54,0.09,0.22,2017-12-15
Beatriz Santos,Vestuário,1714.44,3428.06,0.13,0.2,2017-12-15
Camila Lima,Vestuário,4925.3,3500.57,0.26,0.16,2017-12-15
Thiago Barbosa,Acessórios,1791.12,1392.07,0.54,0.44,2017-12-15
Letícia Ribeiro,Acessórios,321.42,1121.55,0.52,0.5,2017-12-15
Enzo Nascimento,Casa,5379.84,2146.83,0.33,0.33,2017-12-15
Guilherme Santos,Casa,7456.92,5242.72,0.35,0.24,2017-12-15
Vitória Ribeiro,Brinquedo,5089.62,2302.73,0.34,0.25,2017-12-15
Julia Araújo,Esportes,6320.72,2305.75,0.21,0.3,2017-12-15
Lucas Rodrigues,Esportes,4550.25,2636.17,0.25,0.38,2017-12-15
Thiago Carvalho,Esportes,3772.63,1942.68,0.51,0.31,2017-12-15
Mateus Barbosa,Eletrônicos,3208.07,2415.22,0.18,0.22,2017-12-15
Camila Carvalho,Casa,2463.83,5156.17,0.4,0.29,2017-12-15
Diego Cardoso,Vestuário,4147.7,2556.14,0.19,0.2,2017-12-15
Jorge Santos,Brinquedo,1322.53,3784.29,0.29,0.26,2017-12-15
Raphael Silva,Papelaria,155.39,482.54,0.65,0.54,2017-12-15
Caroline Reis,Papelaria,696.6,632.6,0.49,0.36,2017-12-15
Letícia Nascimento,Eletrônicos,546.48,3716.41,0.19,0.2,2017-12-16
Ana Sousa,Eletrônicos,945.84,4364.33,0.18,0.22,2017-12-16
Gustavo Martins,Eletrônicos,6399.16,4199.84,0.11,0.18,2017-12-16
Beatriz Santos,Vestuário,837.41,989.24,0.15,0.18,2017-12-16
Camila Lima,Vestuário,347.83,2953.28,0.22,0.16,2017-12-16
Thiago Barbosa,Acessórios,1833.2,1569.45,0.74,0.54,2017-12-16
Letícia Ribeiro,Acessórios,360.35,690.07,0.76,0.42,2017-12-16
Enzo Nascimento,Casa,3618.47,4842.29,0.24,0.32,2017-12-16
Guilherme Santos,Casa,2095.2,5432.0,0.22,0.29,2017-12-16
Vitória Ribeiro,Brinquedo,4354.98,3636.41,0.29,0.25,2017-12-16
Julia Araújo,Esportes,1013.64,3680.47,0.22,0.39,2017-12-16
Lucas Rodrigues,Esportes,4417.95,5141.71,0.23,0.36,2017-12-16
Thiago Carvalho,Esportes,1278.36,3543.32,0.38,0.36,2017-12-16
Mateus Barbosa,Eletrônicos,6359.12,3530.57,0.16,0.19,2017-12-16
Camila Carvalho,Casa,3280.72,4312.87,0.37,0.31,2017-12-16
Diego Cardoso,Vestuário,490.56,1852.87,0.25,0.14,2017-12-16
Jorge Santos,Brinquedo,1011.58,2293.83,0.37,0.27,2017-12-16
Raphael Silva,Papelaria,522.17,667.62,0.4,0.36,2017-12-16
Caroline Reis,Papelaria,797.28,285.95,0.49,0.47,2017-12-16
Letícia Nascimento,Eletrônicos,4676.54,3490.15,0.18,0.22,2017-12-17
Ana Sousa,Eletrônicos,2754.64,4312.8,0.23,0.18,2017-12-17
Gustavo Martins,Eletrônicos,3046.43,2960.0,0.28,0.22,2017-12-17
Beatriz Santos,Vestuário,1635.96,2678.38,0.08,0.2,2017-12-17
Camila Lima,Vestuário,945.53,1571.17,0.15,0.17,2017-12-17
Thiago Barbosa,Acessórios,350.19,1246.4,0.24,0.48,2017-12-17
Letícia Ribeiro,Acessórios,2092.79,1373.71,0.36,0.52,2017-12-17
Enzo Nascimento,Casa,4842.11,2684.26,0.19,0.29,2017-12-17
Guilherme Santos,Casa,4581.36,2564.14,0.4,0.3,2017-12-17
Vitória Ribeiro,Brinquedo,3728.09,3595.38,0.34,0.27,2017-12-17
Julia Araújo,Esportes,1355.11,3128.36,0.4,0.3,2017-12-17
Lucas Rodrigues,Esportes,1520.86,4526.22,0.45,0.27,2017-12-17
Thiago Carvalho,Esportes,1683.63,1376.8,0.31,0.3,2017-12-17
Mateus Barbosa,Eletrônicos,1730.62,4433.33,0.24,0.17,2017-12-17
Camila Carvalho,Casa,7592.35,3177.02,0.14,0.24,2017-12-17
Diego Cardoso,Vestuário,1514.57,2184.26,0.13,0.18,2017-12-17
Jorge Santos,Brinquedo,3009.16,1572.63,0.35,0.22,2017-12-17
Raphael Silva,Papelaria,281.07,408.1,0.36,0.38,2017-12-17
Caroline Reis,Papelaria,72.05,349.12,0.25,0.38,2017-12-17
Letícia Nascimento,Eletrônicos,303.62,3751.33,0.17,0.19,2017-12-18
Ana Sousa,Eletrônicos,3582.41,2995.16,0.27,0.24,2017-12-18
Gustavo Martins,Eletrônicos,1848.68,4791.6,0.1,0.18,2017-12-18
Beatriz Santos,Vestuário,4441.45,3108.11,0.21,0.2,2017-12-18
Camila Lima,Vestuário,2001.29,1092.26,0.2,0.15,2017-12-18
Thiago Barbosa,Acessórios,1796.11,1427.02,0.28,0.44,2017-12-18
Letícia Ribeiro,Acessórios,1769.7,442.71,0.5,0.5,2017-12-18
Enzo Nascimento,Casa,4573.06,4946.82,0.39,0.3,2017-12-18
Guilherme Santos,Casa,6837.6,5194.36,0.22,0.3,2017-12-18
Vitória Ribeiro,Brinquedo,4037.82,1930.18,0.39,0.29,2017-12-18
Julia Araújo,Esportes,6968.23,3704.23,0.47,0.27,2017-12-18
Lucas Rodrigues,Esportes,4987.89,4647.45,0.25,0.33,2017-12-18
Thiago Carvalho,Esportes,981.36,4934.1,0.3,0.29,2017-12-18
Mateus Barbosa,Eletrônicos,6332.98,3474.49,0.11,0.18,2017-12-18
Camila Carvalho,Casa,2000.0,4927.57,0.25,0.3,2017-12-18
Diego Cardoso,Vestuário,741.86,3200.6,0.21,0.2,2017-12-18
Jorge Santos,Brinquedo,3648.52,3675.33,0.31,0.22,2017-12-18
Raphael Silva,Papelaria,161.94,724.4,0.18,0.43,2017-12-18
Caroline Reis,Papelaria,99.01,224.92,0.27,0.41,2017-12-18
Letícia Nascimento,Eletrônicos,3764.21,2587.49,0.27,0.22,2017-12-19
Ana Sousa,Eletrônicos,2841.78,2803.42,0.29,0.18,2017-12-19
Gustavo Martins,Eletrônicos,4564.24,3693.83,0.18,0.23,2017-12-19
Beatriz Santos,Vestuário,2545.21,2911.94,0.2,0.15,2017-12-19
Camila Lima,Vestuário,472.23,1668.23,0.23,0.19,2017-12-19
Thiago Barbosa,Acessórios,1875.09,1279.22,0.56,0.5,2017-12-19
Letícia Ribeiro,Acessórios,1149.04,1001.0,0.26,0.52,2017-12-19
Enzo Nascimento,Casa,429.28,4756.85,0.41,0.3,2017-12-19
Guilherme Santos,Casa,3057.21,2420.91,0.29,0.26,2017-12-19
Vitória Ribeiro,Brinquedo,2844.58,3123.16,0.32,0.21,2017-12-19
Julia Araújo,Esportes,5867.45,2677.56,0.3,0.34,2017-12-19
Lucas Rodrigues,Esportes,7100.94,3748.07,0.39,0.31,2017-12-19
Thiago Carvalho,Esportes,7102.69,4259.11,0.34,0.29,2017-12-19
Mateus Barbosa,Eletrônicos,3221.54,3086.42,0.08,0.23,2017-12-19
Camila Carvalho,Casa,5541.89,2057.69,0.11,0.29,2017-12-19
Diego Cardoso,Vestuário,2782.32,2717.72,0.27,0.16,2017-12-19
Jorge Santos,Brinquedo,933.42,1579.47,0.16,0.24,2017-12-19
Raphael Silva,Papelaria,39.16,509.46,0.58,0.49,2017-12-19
Caroline Reis,Papelaria,51.08,520.08,0.2,0.43,2017-12-19
Letícia Nascimento,Eletrônicos,2993.52,4383.5,0.26,0.21,2017-12-20
Ana Sousa,Eletrônicos,6526.43,2536.43,0.23,0.18,2017-12-20
Gustavo Martins,Eletrônicos,1960.68,3175.04,0.18,0.23,2017-12-20
Beatriz Santos,Vestuário,1354.64,2198.18,0.19,0.2,2017-12-20
Camila Lima,Vestuário,1931.54,2290.78,0.16,0.17,2017-12-20
Thiago Barbosa,Acessórios,1915.74,805.15,0.5,0.42,2017-12-20
Letícia Ribeiro,Acessórios,957.97,825.19,0.22,0.54,2017-12-20
Enzo Nascimento,Casa,6154.78,4848.31,0.18,0.25,2017-12-20
Guilherme Santos,Casa,7141.53,1775.49,0.12,0.29,2017-12-20
Vitória Ribeiro,Brinquedo,2470.04,2765.71,0.14,0.27,2017-12-20
Julia Araújo,Esportes,1075.61,3364.1,0.51,0.31,2017-12-20
Lucas Rodrigues,Esportes,5454.12,2134.31,0.43,0.35,2017-12-20
Thiago Carvalho,Esportes,3514.42,2243.62,0.39,0.27,2017-12-20
Mateus Barbosa,Eletrônicos,3328.44,3205.96,0.1,0.22,2017-12-20
Camila Carvalho,Casa,6487.75,1852.47,0.2,0.28,2017-12-20
Diego Cardoso,Vestuário,836.97,3200.71,0.1,0.19,2017-12-20
Jorge Santos,Brinquedo,847.88,2124.85,0.35,0.23,2017-12-20
Raphael Silva,Papelaria,45.68,234.68,0.36,0.47,2017-12-20
Caroline Reis,Papelaria,53.86,796.12,0.58,0.49,2017-12-20
Letícia Nascimento,Eletrônicos,3918.25,3182.02,0.13,0.22,2017-12-21
Ana Sousa,Eletrônicos,2721.47,2849.69,0.21,0.2,2017-12-21
Gustavo Martins,Eletrônicos,2127.86,1550.63,0.13,0.18,2017-12-21
Beatriz Santos,Vestuário,3946.67,1661.67,0.18,0.2,2017-12-21
Camila Lima,Vestuário,378.87,980.76,0.08,0.15,2017-12-21
Thiago Barbosa,Acessórios,379.96,768.66,0.76,0.6,2017-12-21
